judul,tanggal,isi,kategori
"Sempat Cekcok, Macron Tegaskan ke Netanyahu Komitmen Keamanan Israel"," Senin, 07 Okt 2024 05:25 WIB ","Presiden Prancis Emmanuel Macron menegaskan kembali 'komitmen teguh' negaranya terhadap keamanan Israel saat berbicara dengan Perdana Menteri Israel Benjamin Netanyahu melalui telepon.
AFP memberitakan kedua pemimpin itu melakukan panggilan telepon menjelang peringatan 7 Oktober serangan Hamas ke Israel dan sehari setelah keduanya saling bertukar pernyataan panas.

Macron pada Sabtu (4/10) mengatakan 'prioritasnya adalah kembali ke solusi politik' dan 'berhenti mengirim senjata untuk berperang di Gaza'.
Netanyahu marah atas pernyataan Macron dan mengatakan hal itu 'memalukan'.
""Saat Israel memerangi kekuatan barbarisme yang dipimpin Iran, semua negara beradab seharusnya berdiri teguh di pihak Israel. Namun, Presiden Macron dan pemimpin Barat lainnya kini menyerukan embargo senjata terhadap Israel. Mereka sungguh memalukan,"" kata Netanyahu.
Kantor kepresidenan Macron menjelaskan 'kedua pemimpin menerima perbedaan pendapat mereka, serta keinginan mereka untuk dipahami satu sama lain' saat berbincang melalui telepon.

Dinyatakan juga Macron menegaskan kepada Netanyahu bahwa komitmen Prancis terhadap keamanan Israel tak tergoyahkan. Dan Netanyahu diingatkan tentang mobilisasi sumber daya militer Prancis dalam pertahanannya selama serangan dilakukan Iran dalam beberapa bulan terakhir.
Kemudian dikatakan Macron menyuarakan 'keyakinan bahwa saatnya untuk gencatan senjata kini telah tiba'.
Sejak perang Gaza, Israel saat ini bertikai dengan banyak penjuru termasuk Hamas di Gaza dan Hibullah di Lebanon. Israel juga mengancam akan membalas serangan lebih dari 200 rudal yang diluncurkan Iran pekan lalu.",internasional
Israel Keluarkan Peringatan Evakuasi Warga Beirut," Senin, 07 Okt 2024 05:10 WIB ","Militer Israel pada Minggu (6/10) malam mengumumkan seruan baru bagi penduduk mengungsi dari pinggiran selatan Beirut, Lebanon. Seruan serupa pernah dikeluarkan Israel sebelum menyerang Beirut pada pekan lalu.
""Peringatan mendesak bagi penduduk pinggiran selatan Burj al-Barajneh dan Hadath Beirut ... Anda berada di dekat fasilitas dan terkait Hizbullah, dan IDF (Israel Defense Forces) akan beroperasi melawan mereka dalam waktu dekat,"" kata juru bicara militer Israel Avichay Adraee di X.

The Times of Israel menjelaskan IDF menyerukan warga sipil di dekat empat gedung di pinggiran selatan Beirut, yakni benteng Hizbullah yang dikenal sebagai Dahiyeh, segera mengungsi sebelum serangan udara dilakukan.
Adraee, juru bicara IDF berbahasa Arab, mengunggah peta bersama pengumuman tersebut. Dia menyerukan warga menjauhkan diri setidaknya 500 meter dari lokasi tersebut.
[Gambas:Twitter]

Dalam sepekan terakhir IDF sudah mengeluarkan beberapa perintah evakuasi untuk lokasi tertentu di Dahiyeh menjelang serangan udara terhadap infrastruktur Hizbullah.
Kementerian Kesehatan Lebanon mengatakan pada Minggu bahwa serangan Israel pada Sabtu (5/10) telah menewaskan 25 orang dan melukai 96 orang.",internasional
FOTO: Penampakan Banteng Raksasa Berbendera Palestina di Spanyol,"Minggu, 06 Okt 2024 21:10 WIB","Papan iklan berbentuk banteng raksasa ""Osborne bull"" berdiri gagah di Cabanillas de la Sierra, Spanyol, dengan warna cat bendera Palestina, Jumat (4/10).",internasional
"Paus Fransiskus Angkat 21 Kardinal Baru, Uskup Bogor Salah Satunya"," Minggu, 06 Okt 2024 20:05 WIB ","Paus Fransiskus mengumumkan akan mengadakan konsistori untuk pembentukan kardinal baru pada 8 Desember 2024, Hari Raya Maria Dikandung Tanpa Noda, di Vatikan usai sesi Doa Malaikat Tuhan (Angelus) pada Minggu (6/10). Para Kardinal terpilih berasal dari seluruh dunia, termasuk Uskup Bogor Mgr Paskalis Bruno Syukur.
Konsistori, yang akan diselenggarakan dengan perwakilan dari seluruh dunia, akan jatuh sebelum pembukaan Yubileum Harapan 2025 dan setelah penutupan Sesi Kedua Sinode tentang Sinodalitas di Vatikan.
Dilansir dari laman resmi, Uskup Paskalis Bruno Syukur ditahbiskan pada 22 Februari 2014 dan menjabat hingga sekarang.
Ia melakukan profesi kekal pada 22 Januari 1989 dan menerima tahbisan imamat pada 2 Februari 1991 di Paroki Santa Maria Ratu Para Malaikat, Cipanas, Jawa Barat.

Usai ditahbiskan sebagai imam, ia menerima tugas sebagai Pastor Pembantu di Paroki Moanemani, Keuskupan Jayapura, hingga 1993.
Ia sempat bertugas untuk mempelajari spiritualitas Frasiskan di Universitas Kepausan Antonium, Roma, Italia sejak 1993 hingga 1996.
Pada 1996 hingga 2001, ia mendapatkan penugasan dari OFM Provinsi Indonesia sebagai magister novis untuk para frater calon OFM di Novisiat OFM di Depok, Jawa Barat.
Ia terpilih menjadi Provinsial OFM dalam Sidang Provinsi pada 2001 dan bertugas hingga 2007, lalu terpilih kembali 2007.

Tahun 2009, diangkat menjadi Definitor General OFM untuk wilayah Asia dan Oseania seperti India, Pakistan, Jepang, Australia - Selandia Baru, dan juga Indonesia dan bertugas di Generalat OFM di Roma, Italia.
Selang empat tahun, pada 21 November 2013, Paus Fransiskus menunjuknya sebagai Uskup Bogor menggantikan Uskup sebelumnya Mgw Cosmas Michael Angkur, OFM yang memasuki usia pensiun.
Berikut adalah daftar Kardinal baru:
1. Yang Mulia Mgr. Angelo Acerbi, Nuncio Apostolik
2. Yang Mulia Mgr. Carlos Gustavo CASTILLO MATTASOGLIO Uskup Agung Lima (Peru)
3. Yang Mulia Mgr. Vicente BOKALIC IGLIC C.M., Uskup Agung Santiago del Estero (Primado de la Argentina).
4. DIA. Mgr. Luis Gerardo CABRERA HERRERA, O.F.M., Uskup Agung Guayaquil (Ekuador).
5. DIA. Mgr. Fernando Natalio CHOMALÍ GARIB Uskup Agung Santiago de Chile (Chili).

6. Uskup Agung Tarcisio Isao KIKUCHI, S.V.D., Uskup Agung Tokyo (Jepang).
7. DIA. Mgr. Pablo Virgilio SIONGCO DAVID, Uskup Kalookan (Filipina).
8. Mgr. Ladislav NEMET, S.V.D., Uskup Agung Beograd -Smederevo, (Serbia).
9. DIA. Mgr. Jaime SPENGLER, O.F.M., Uskup Agung Porto Alegre (Brasil).
10. DIA. Mgr Ignace BESSI DOGBO, Uskup Agung Abidjan (Pantai Gading).

11. Y.M. Mgr Jean-Paul VESCO, O.P., Uskup Agung Alger (Aljazair).
12. Y.M. Mgr. Paskalis Bruno SYUKUR, O.F.M., Uskup Bogor (Indonesia).
13. Y.M. Mgr. Dominique Joseph MATHIEU, O.F.M. Conv., Uskup Agung Teheran Ispahan (Iran).
14. Y.M. Mgr. Roberto REPOLE, Uskup Agung Turin (Italia).
15. Y.M. Mgr. Baldassare REINA, Uskup Pembantu Roma, sebelumnya Wakil Gubernur dan, hingga saat ini, Vikaris Jenderal untuk Keuskupan Roma.


16. Y.M. Mgr. Francis LEO, Uskup Agung Toronto (Kanada).
17. H.E. Mgr. Rolandas MAKRICKAS, Imam Besar Koajutor Basilika Kepausan St. Mary Major.
18. H.E. Mgr Mykola BYCHOK, C.S.R., Uskup Eparki Santo Petrus dan Paulus dari Melbourne dari Ukraina
19. R.P. Timothy Peter Joseph RADCLIFFE, OP, teolog
20. R. P. Fabio BAGGIO, C.S., Wakil Sekretaris Departemen untuk Layanan Pengembangan Manusia Integral
21. Mgr George Jacob KOOVAKAD, Pejabat Sekretaris Negara, Bertanggung Jawab atas Perjalanan",internasional
Netanyahu Sembunyi di Bunker saat Israel Digempur Hizbullah dan Iran," Minggu, 06 Okt 2024 19:36 WIB ","Perdana Menteri Israel Benjamin Netanyahu meninggalkan kediamannya di Caesarea setelah sirene serangan udara berbunyi di kawasan tersebut, menurut laporan situs berita Israel Walla.
Peristiwa ini terjadi saat milisi Hizbullah memperluas serangan mereka di wilayah Palestina Utara yang diduduki Israel, Jumat (4/10) waktu setempat, dikutip dari Middle East Monitor.


Serangan itu bagian dari upaya Hizbullah mencegah Israel menembus wilayah Selatan Palestina.
Sirine meraung sejak dini hari saat serangan terjadi. Sirine berbunyi di Margaliot, Misgav Am, Hanita, Haifa, Krayot, Acre, Nahariyya, Lembah Beit She'an, Gesher dan Menahemia, bersamaan dengan peluncuran roket dari Lebanon.
Media Israel menggambarkan itu sebagai, ""Kegilaan di langit Haifa dan Krayot.""
Media Israel juga melaporkan bahwa Netanyahu dan beberapa menteri bersembunyi di bawah tanah atau bunker di Kota Yerusalem selama serangan Iran terhadap Israel pada Selasa pekan lalu.
Sementara Menteri Pertahanan Yoav Gallant berlindung di sebuah gedung bawah tanah milik kementerian di Tel Aviv.
",internasional
FOTO: Evakuasi WNA dari Lebanon saat Serangan Israel Makin Menggila,"Minggu, 06 Okt 2024 19:27 WIB","Sejumlah negara langsung mengevakuasi warganya dari Lebanon, setelah serangan antara Israel dengan milisi Hizbullah yang semakin intens selama sepekan terakhir.",internasional
Pakar Sebut Rusia Ada Utang Budi Bantu Iran Lawan Israel," Minggu, 06 Okt 2024 18:45 WIB ","Sejumlah pakar menilai Rusia berutang budi ke Iran karena bantuan negara Timur Tengah ini dalam invasi Negeri Beruang Merah ke Ukraina.
Iran disebut mengirim ratusan rudal jarak pendek ke Rusia. Senjata itu lalu dipakai untuk berperang di Ukraina.
Para analis menilai Rusia hutang budi ke Iran dan perlu membantu negara tersebut saat melawan Israel.
""Rusia telah bekerja sama erat dengan Iran selama dua setengah tahun terakhir, secara eksklusif di bidang militer,"" kata spesialis kajian Rusia, Ruslan Suleymanov, dikutip Al Jazeera.

Suleymanov mengatakan senjata Iran sangat diminati. Permintaan senjata dari Rusia ke negara tersebut juga meningkat.
""Dan Rusia menjadi tergantung ke senjata Iran,"" kata dia.
Suleymanov lalu berujar, ""Sehingga, Rusia terpaksa mendukung sekutu Iran di Timur Tengah seperti gerakan Hizbullah.""
Sikap Rusia semacam itu, kata dia, tampak menunjukkan negara ini jatuh ke orbit Iran.

Pendiri Pusat Interaksi dan Kerja Sama Internasional Alexey Malinin juga mengatakan eskalasi di Timur Tengah menjadi perhatian serius bagi Rusia.
Dia menyebut Rusia berulang kali menyerukan solusi diplomatik.
""Namun, upaya-upaya ini terus-menerus menghadapi pertentangan, yang dinyatakan dalam keinginan Amerika Serikat untuk mendukung Israel dalam hampir semua situasi, terutama dalam hal militer,"" kata Malinin.
AS selama ini mengklaim untuk mengupayakan perdamaian di Timur Tengah dengan solusi politik.

Namun, mereka selalu membela dan mendukung Israel dengan dalih pertahanan diri.
Malinin juga memandang dukungan deras AS yang justru mengubah Lebanon menjadi medan perang dan menegasikan gagasan sendiri.
Rusia sementara itu punya kebijakan yang berbeda dengan AS. Suleymanov menyebut pemerintahan Vladimir Putin tak menginginkan ada perang besar.
Sikap Rusia soal eskalasi di Timur Tengah terlihat saat Iran menyerang secara langsung wilayah Israel pada April lalu.

""Ketika Iran dan Israel tampak sudah memasuki perang besar, Rusia tidak secara tegas memihak Iran. Rusia mendesak Iran dan Israel untuk menahan diri,"" ungkap Suleymanov.
Namun di saat yang sama, dia memandang Rusia mendapat keuntungan dari kekacauan di Timur Tengah.
Fokus Amerika Serikat terkait Ukraina saat ini teralihkan dengan konflik di kawasan tersebut.
""Mereka perlu banyak waktu untuk menyelesaikan konflik di Timur Tengah,"" kata Suleymanov.


Rusia dan Iran memiliki musuh bebuyutan yang sama yakni Amerika Serikat. Kedua negara tersebut juga punya sekutu yang sama yaitu Presiden Suriah Bashar Al Assad. Namun, di sisi lain Rusia memiliki hubungan diplomatik dengan Israel.
Selain itu, Rusia juga menjadi anggota kelompok yang memediasi Israel-Palestina Kuartet Timur Tengah.
Kelompok tersebut terdiri dari Rusia, Amerika Serikat, Uni Eropa dan Perserikatan Bangsa-Bangsa (PBB).
Untuk meredakan ketegangan dengan Israel, Moskow menggunakan pengaruh mereka membujuk Teheran agar merayu Hizbullah mundur dari perbatasan Suriah-Israel.",internasional
Daftar Rudal Balistik dan Hipersonik Iran yang Jebol Iron Dome Israel," Minggu, 06 Okt 2024 16:00 WIB ","Iran membalas serangan Israel ke Lebanon dengan meluncurkan ratusan rudal balistik hingga rudal hipersonik pada Rabu (2/10) dini hari waktu setempat.
Laporan TV Pemerintah Iran menyebut serangan rudal ke wilayah Israel sebagai respons atas kematian pemimpin Hamas Ismail Haniyeh dan terbunuhnya pemimpin Hizbullah Hassan Nasrallah.

Lantas, apa saja jenis rudal balistik dan Hipersonik yang dipakai Iran untuk menggempur Israel?
Iran merupakan negara dengan rudal balistik terbanyak di Timur Tengah. Menurut catatan United States Institute of Peace, sebagian besar persediaan rudal balistik negara tersebut berasal dari Korea Utara.
Tidak ada yang tahu pasti berapa jumlah rudal balistik yang dimiliki Iran saat ini. Namun, jenderal angkatan udara Amerika Serikat, Kenneth McKenzie, memperkirakan bahwa negara dengan mayoritas penduduk Syiah itu kini punya lebih dari 3.000 rudal balistik, seperti dikutip dari CNN.


Salah satu jenis rudal balistik Iran yang paling terkenal saat ini adalah Shahab-3. Iran sudah memakai rudal ini untuk berperang sejak 2003. Rudal ini dilaporkan punya berat sekitar 760 hingga 1.200 kilogram.
Saat ini, Iran dilaporkan sudah mengembangkan beberapa varian baru dari Rudal Shahab-3. Beberapa di antaranya, seperti Shahab-3A, Shahab-3B, Shahab-3D, Shahab-3M, Qadr-1, Ghadr-1, dan Emad, dilansir dari CSIS.

Rudal hipersonik merupakan salah satu jenis rudal berkecepatan tinggi. Rudal ini diklaim punya kecepatan yang setara dengan enam kali kecepatan suara.
Dilansir Al Jazeera, rudal hipersonik punya kecepatan minimum 5 march. Kecepatan ini setara dengan 1.700 kilometer per detik atau setara 6.100 kilometer per jam.
Saking cepatnya, rudal hipersonik sangat sulit terdeteksi keberadaannya oleh sistem radar. Bahkan, suara dari rudal tersebut baru terdengar ketika menghantam objek atau target yang dituju.

Iran saat ini tercatat punya beberapa jenis rudal hipersonik. Salah satu jenis rudal hipersonik Iran yang paling terkenal adalah Fatteh-2. Iran mengeklaim rudal ini punya kecepatan 10.000 mil atau setara 16.000 kilometer per jam, dikutip dari the Guardian.
Iran memang diklaim sebagai negara dengan jumlah rudal balistik dan hipersonik terbanyak di Timur Tengah. Namun, para pengamat mengeklaim bahwa jumlah rudal mereka masih kalah dengan Israel.",internasional
Netanyahu Akui Bunuh Nasrallah: Dia Ejek Kami Jaring Laba-laba," Minggu, 06 Okt 2024 15:42 WIB ","Perdana Menteri Israel Benjamin Netanyahu mengakui pemerintahan dia menghabisi pemimpin Hizbullah Hassan Nasrallah dalam serangan udara di Ibu Kota Lebanon, Beirut, pada akhir September.
Pengakuan itu dia sampaikan saat konferensi pers yang disiarkan di kanal YouTube PM Israel, Minggu (6/10).
""Kami melenyapkan Nasrallah dan petinggi Hizbullah, kami melenyapkan komandan pasukan khusus Radwan (Ibrahim Aqil) yang berencana menyerang Galilea,"" kata Netanyahu.
Di kesempatan itu, Netanyahu juga membagikan kenangan dia soal Nasrallah yang cukup membekas di ingatan.

""Apa Anda ingat Nasrallah selalu mengejek kami. Dia menyebut kita jaring laba-laba,"" ucap PM Israel itu.
Nasrallah dan komandan di Korps Garda Revolusi Iran (IRGC) Abbas Nilforoushan tewas dalam serangan udara Israel di markas besar Hizbullah di Beirut pada 27 September.
Keesokan harinya, Israel membunuh petinggi Hizbullah yang merupakan Wakil Kepala Dewan Pusat, Nabil Kauk.
Sementara itu, Aqil tewas pada 23 September. Komandan pasukan khusus ini menjadi incaran Israel karena dianggap akan melakukan pembantaian yang lebih besar dan mengerikan daripada serangan dadakan Hamas pada 7 Oktober 2023.

Netanyahu lalu menegaskan saat ini Nasrallah dan seluruh dunia bisa melihat urat besi Israel: negara dengan tentara yang kuat.
Selain itu, Netanyahu juga memuji tindakan pasukan pertahanan Israel yang menggempur Lebanon.
Militer Israel, lanjut dia, telah menghancurkan sebagian besar sistem rudal dan roket yang dibangun Hizbullah selama bertahun-tahun.
""Dan saat ini, tentara kita yang heroik menghancurkan serangkaian terowongan teror yang diam-diam disiapkan Hizbullah, dekat perbatasan kita,"" ujar Netanyahu.


Dalam beberapa pekan terakhir, Israel menggempur habis-habisan Lebanon. Mereka menyebut tindakan ini sebagai operasi darat terbatas dan hanya menyasar situs Hizbullah.
Namun, pasukan Israel juga menggempur fasilitas sipil seperti kamp pengungsian di Lebanon selatan.",internasional
Netanyahu: Serangan Rudal Iran ke Israel Terbesar dalam Sejarah," Minggu, 06 Okt 2024 15:05 WIB ","Perdana Menteri Benjamin Netanyahu mengakui Israel 'babak belur' usai Iran menghujani ratusan rudal ke negara itu pada pekan lalu.
Pengakuan Netanyahu muncul saat dia menggelar konferensi pers dan disiarkan di akun resmi kanal YouTube PM Israel, Sabtu (5/10).
""Iran sudah dua kali meluncurkan ratusan rudal ke wilayah kami dan ke kota-kota kami, dalam salah satu serangan rudal balistik terbesar dalam sejarah,"" kata Netanyahu.
Pada 1 Oktober malam waktu setempat, Iran meluncurkan 200 rudal balistik dan hipersonik ke wilayah Israel.
Angkatan Bersenjata Iran mengklaim 90 persen rudal mereka mengenai target Israel termasuk pangkalan udara dan sistem pertahanan Iron Dome.

""Tak ada negara di dunia yang akan menerima serangan seperti itu terhadap kota-kota dan warganya, bahkan negara Israel pun tidak,"" ujar Netanyahu.
Israel, lanjut dia, punya kewajiban dan hak untuk membela diri dan menanggapi serangan Iran.
""Dan kami akan melakukannya,"" ucap Netanyahu.
Usai meluncurkan ratusan rudal Iran mewanti-wanti Israel agar tak membalas serangan. Jika mereka abai, Teheran akan melakukan serangan yang lebih mematikan dan menghancurkan.
Namun dalam pernyataan resmi Netanyahu tak lama setelah serangan Iran, dia menegaskan Israel akan membalas dengan segala opsi yang mereka punya.
Israel disebut-sebut akan mengincar fasilitas nuklir, kilang minyak atau, infrastruktur militer.
Jika saling serang itu terus berlanjut, sejumlah pakar khawatir perang akan pecah di Timur Tengah dan agresi pasukan Zionis di Jalur Gaza jadi terpinggirkan atau bahkan tak terselesaikan.

",internasional
Pakar Wanti-wanti Israel Rapuh Perang Lawan Iran," Minggu, 06 Okt 2024 15:00 WIB ","Sejumlah pakar mewanti-wanti Israel jika membalas serangan dan betul-betul perang melawan Iran.
Koresponden urusan luar negeri The Guardian Andrew Roth mengatakan eskalasi dengan Iran bisa membuat Israel berada dalam posisi yang lebih berisiko.
""Lebih rentan daripada yang terlihat,"" kata Roth dalam judul analisis yang dirilis The Guardian, Sabtu (5/10).
Roth menggambarkan serangan Iran yang berdampak ke pangkalan jet militer tercanggih mereka dan Iron Dome Israel.

Rekaman citra satelit dan video yang beredar di media sosial menunjukkan rudal-rudal Iran menghantam pangkalan udara Nevatim dan memicu setidaknya beberapa ledakan sekunder.
""Ini mengindikasikan meskipun efektivitas pertahanan udara Iron Dome dan Arrow milik Israel sangat dipuji, serangan Iran lebih efektif daripada yang diakui sebelumnya,"" kata Roth.
Para ahli yang menganalisis rekaman tersebut mencatat ada sekitar 32 serangan langsung terhadap pangkalan udara Nevatim.
Di pangkalan udara itu memang tak tampak kerusakan besar, tetapi beberapa jatuh dekat hanggar yang menampung jet F-35, salah satu aset militer paling berharga bagi Israel.

Rudal-rudal tersebut, lanjut Roth, juga memiliki dampak yang mematikan jika ditembakkan ke kota seperti Tel Aviv atau kilang minyak milik Bazan Group di Haifa.
""Berpotensi menciptakan bencana ekologi di dekat kota Israel,"" kata dia.
Pakar yang fokus soal program nuklir sekaligus analis citra satelit dari Channel NewsAsia (CNA) Decker Eveleth mengatakan Iran membuktikan mampu menyerang Israel dengan keras jika mereka mau.
""Pangkalan udara adalah target yang sulit, dan jenis target yang kemungkinan tak akan menimbulkan banyak korban,"" ujar Eveleth di blog soal militer, Hors D'Oeuvres of Battle.

Menurut Eveleth, jika serangan balasan terus berlanjut Iran bisa memilih target yang berbeda seperti, pangkalan pasukan darat Israel yang padat, atau target di dalam wilayah sipil.
Serangan-serangan rudal di lokasi tersebut, kata dia, akan banyak memakan korban jiwa.
Masalah lain bagi Israel adalah dampak ekonomi imbas serangkaian serangan yang berlarut-larut dengan Iran.
Persediaan pertahanan udara Israel, kata Eveleth, mahal dan terbatas. Artinya, mereka mungkin menjadi lebih rentan terhadap serangan Iran seiring berlanjutnya konflik.


""Kekhawatiran saya adalah ini akan menjadi, dalam jangka panjang, pertukaran [rudal] yang tak akan mampu dilakukan Israel jika ini menjadi konflik yang berlarut-larut,"" ujar Eveleth.
Direktur di Lembaga think tank Crisis Group Ali Vaez juga memperingatkan soal perang ping-pong rudal balistik Iran dan Israel yang sewaktu-waktu bisa lepas kendali.
""Ini bisa mengakibatkan korban di Israel yang kemudian memicu eskalasi lebih lanjut dan bisa menarik Amerika Serikat,"" ujar Vaez.
Jika AS ikut campur, sekutu Iran yakni Rusia dan China tak akan tinggal diam. Kedua negara ini tentu akan membantu dan mendukung Teheran.

",internasional
Eks PM Israel Minta Netanyahu Bom Fasilitas Nuklir Iran," Minggu, 06 Okt 2024 13:30 WIB ","Mantan Perdana Menteri Israel Naftali Bennett meminta pemerintahan Benjamin Netanyahu mengebom fasilitas nuklir Iran sebagai serangan balasan usai ratusan rudal menghujani Negara Zionis ini.
Bennett juga menyarankan Israel agar menggempur rezim Iran dan fasilitas minyak mereka.

""Israel mesti: menyerang program nuklir Iran; dan menyerang pemerintahan Iran; menyerang dan menghancurkan ekonomi utama rezim [Iran] seperti energi dan lainnya,"" kata Bennet di X, Minggu (6/10).
Semua itu, lanjut dia, hanya sebagian kecil dari apa yang sudah dilakukan Iran terhadap Israel.
""Jadi, tidak akan pernah proporsional,"" ungkap Bennet.


Komentar Bennett mempertanyakan pernyataan Presiden Amerika Serikat Joe Biden yang menyebut balasan Israel ke Iran harus proporsional.
Biden juga menyarankan Israel tak menyerang situs nuklir Iran.
""Mari kita tengok apa yang disebut proporsional, dan juga apa yang akan terjadi dengan program nuklir,"" kata Bennett.

Menurut dia, Iran selama 30 tahun terakhir telah meneror Israel melalui serangan Hamas, Hizbullah, Jihad Islam, dan gempuran milisi lain.
Israel dan negara-negara Barat kerap menyebut para milisi itu didukung dan disponsori Iran.
""Rezim Iran telah mendanai, melatih, dan mempersenjatai teroris berbahaya ini,"" ungkap Bennett.
Dia juga membahas serangan Iran ke Israel. Pada Selasa (1/10) malam waktu setempat, Iran meluncurkan 200 rudal balistik ke Israel.
Serangan ini sebagai balasan atas kematian pemimpin Hizbullah Hassan Nasrallah, komandan di Angkatan Bersenjata Iran Jenderal Abbas Nilforoushan, dan pemimpin Hamas Ismail Haniyeh.

Angkatan Bersenjata Iran mengklaim 90 persen rudal mereka mengenai sasaran Israel termasuk Iron Dome dan pangkalan militer.
Pada April lalu, Iran juga melakukan serangan langsung ke Israel dengan meluncurkan total 350 proyektil.
Serangan Iran itu sebagai balasan usai fasilitas diplomatik mereka di Suriah dibom pasukan Israel.

""Tanpa teknologi yang luar biasa Israel, rudal-rudal [Iran] bisa membunuh ribuan warga sipil tak berdosa,"" klaim Bennet.
Iran selama ini menyatakan tindakan mereka terhadap Israel sebagai bentuk perlawanan terhadap agresi, pendudukan pasukan Zionis ke Palestina yang berlangsung bertahun-tahun.
Iran juga menjadi negara yang lantang memperjuangkan Palestina dan kerap menyerukan embargo serta sanksi ke Israel.",internasional
Amerika Serikat Kembali Bombardir Kota-kota Penting di Yaman," Minggu, 06 Okt 2024 13:03 WIB ","Amerika Serikat kembali menggempur kota-kota penting di Yaman pada Jumat (4/10).
Pasukan Komando Pusat AS yang bertanggung jawab di Timur Tengah, CENTCOM, menyerang Ibu Kota Yaman Sanaa dan Kota Pelabuhan Utama Hodeidah.

""[Pasukan] melakukan serangan terhadap 15 target Houthi di wilayah Yaman yang dikuasai Houthi, yang didukung Iran,"" demikian rilis resmi militer AS di X.
Menurut laporan media televisi Houthi, Al Masirah dikutip dari Al Jazeera, AS meluncurkan empat serangan yang menargetkan Sanaa, dan tujuh di Hodeidah.
Satu serangan menghantam Provinsi Dhamar dan sejumlah serangan udara terjadi di Provinsi Bayda, selatan Sanaa.


Sejumlah saksi juga mengaku mendengar ledakan keras di kedua kota tersebut.
Serangan di Hodeidah menghantam bandara dan pangkalan militer Houthi di area Katheib.
Al Masirah juga melaporkan Inggris terlibat dalam serangan tersebut. Namun, pejabat di London membantahnya.

Rekaman yang sudah diverifikasi Al Jazeera juga menunjukkan asap mengepul di Hodeidah imbas serangan tersebut.
Militer AS mengklaim serangan tersebut untuk menjaga kebebasan navigasi.
""Dan untuk lebih memastikan keselamatan perairan internasional dan keamanan bagi AS, koalisi, dan kapal dagang,"" lanjut mereka.
Namun, salah satu sumber AS mengatakan serangan tersebut menargetkan gudang senjata dan pangkalan militer Houthi.
Serangan AS muncul usai Houthi menyerang kapal perang dan menembak jatuh rudal Negeri Paman Sam.

Serangan AS ke Yaman juga muncul usai Houthi mengancam akan meningkatkan operasi militer untuk melawan Israel.
Di luar itu, AS kerap menyerang Houthi sebagai balasan usai milisi itu menggempur kapal yang berafiliasi dengan Israel dan melintasi Laut Merah serta Teluk Aden.
Houthi mengklaim serangan di Laut Merah untuk melumpuhkan ekonomi Israel sehingga mereka bisa menghentikan agresi di Palestina sesegera mungkin.",internasional
FOTO: Melihat Vaksinasi Wabah Mpox di Kongo,"Minggu, 06 Okt 2024 12:50 WIB",Republik Demokratik Kongo menggelar kampanye vaksinasi mpox pertama mereka pada Sabtu (5/10).,internasional
VIDEO: Detik-detik Pesawat Mendarat di Beirut saat Gempuran Israel," Minggu, 06 Okt 2024 12:38 WIB ","Sebuah pesawat terlihat mendarat di Bandara Internasional Beirut, Lebanon, di tengah gempuran Israel pada Sabtu (5/10).
Di wilayah Beirut, empat serangan dilancarkan berturut-turut disertai ledakan dahsyat.
Ledakan terjadi di jalan bandara lama dan daerah bandara internasional Beirut.
Bandara Internasional Beirut dilaporkan dipadati warga yang hendak pergi ke luar negeri mengevakuasi diri.",internasional
VIDEO: Penampakan Israel Membabi Buta Gempur Beirut," Minggu, 06 Okt 2024 12:23 WIB ","Sejumlah ledakan terjadi usai Israel menggempur habis-habisan Beirut, Lebanon pada Sabtu (5/10) malam.
Di wilayah ibu kota tersebut, empat serangan dilancarkan berturut-turut disertai ledakan dahsyat.
Ledakan terjadi di jalan bandara lama dan daerah bandara internasional Beirut.
Bandara Internasional Beirut dilaporkan dipadati warga yang hendak pergi ke luar negeri mengevakuasi diri.
Israel mengklaim serangan ini merupakan operasi darat terbatas dan hanya menyasar situs Hizbullah.
Namun, Israel juga menyerang fasilitas sipil seperti kamp pengungsi di Lebanon selatan.",internasional
